colour	x	y	showSelectedlegendcolour	PANEL	fill
#53B400	70.0563658536585	2.514	Latin America & Caribbean	3	#53B400
#A58AFF	56.7233902439024	4.7	South Asia	3	#A58AFF
#FB61D7	59.1978048780488	3.989	Sub-Saharan Africa	3	#FB61D7
#C49A00	68.4609756097561	1.386	Europe & Central Asia	3	#C49A00
#53B400	73.1276097560976	4.108	Latin America & Caribbean	3	#53B400
#00B6EB	77.9775609756098	1.639	North America	3	#00B6EB
#FB61D7	45.8788048780488	7.125	Sub-Saharan Africa	3	#FB61D7
#FB61D7	46.1062926829268	5.596	Sub-Saharan Africa	3	#FB61D7
#FB61D7	54.6093902439024	5.096	Sub-Saharan Africa	3	#FB61D7
#C49A00	78.4170731707317	1.47	Europe & Central Asia	3	#C49A00
#FB61D7	51.0513658536585	5.581	Sub-Saharan Africa	3	#FB61D7
#53B400	75.0414634146342	2.388	Latin America & Caribbean	3	#53B400
#FB61D7	51.9919024390244	5.384	Sub-Saharan Africa	3	#FB61D7
#F8766D	70.4247317073171	1.868	East Asia & Pacific	3	#F8766D
#53B400	69.4366829268293	2.872	Latin America & Caribbean	3	#53B400
#53B400	76.8088048780488	2.758	Latin America & Caribbean	3	#53B400
#53B400	75.206756097561	1.614	Latin America & Caribbean	3	#53B400
#FB61D7	67.1823170731707	4.55	Sub-Saharan Africa	3	#FB61D7
#C49A00	77.2623170731707	2.124	Europe & Central Asia	3	#C49A00
#C49A00	73.0748780487805	1.278	Europe & Central Asia	3	#C49A00
#C49A00	76.4219512195122	1.25	Europe & Central Asia	3	#C49A00
#00C094	52.6241951219512	5.486	Middle East & North Africa	3	#00C094
#C49A00	75.2126829268293	1.807	Europe & Central Asia	3	#C49A00
#53B400	69.5917317073171	3.13	Latin America & Caribbean	3	#53B400
#00C094	68.4658780487805	3.446	Middle East & North Africa	3	#00C094
#53B400	71.252	3.226	Latin America & Caribbean	3	#53B400
#C49A00	67.5439024390244	1.32	Europe & Central Asia	3	#C49A00
#00C094	65.5934634146342	3.659	Middle East & North Africa	3	#00C094
#FB61D7	52.4046097560976	5.889	Sub-Saharan Africa	3	#FB61D7
#C49A00	77.9807317073171	1.18	Europe & Central Asia	3	#C49A00
#FB61D7	49.3136341463415	6.805	Sub-Saharan Africa	3	#FB61D7
#C49A00	76.409512195122	1.81	Europe & Central Asia	3	#C49A00
#F8766D	66.6389024390244	3.276	East Asia & Pacific	3	#F8766D
#F8766D	66.759756097561	4.664	East Asia & Pacific	3	#F8766D
#C49A00	77.7512195121951	1.74	Europe & Central Asia	3	#C49A00
#FB61D7	61.0976097560976	4.774	Sub-Saharan Africa	3	#FB61D7
#C49A00	76.8365853658537	1.71	Europe & Central Asia	3	#C49A00
#53B400	71.6853658536585	3.116	Latin America & Caribbean	3	#53B400
#C49A00	70.4902682926829	1.88	Europe & Central Asia	3	#C49A00
#FB61D7	57.9929268292683	5.058	Sub-Saharan Africa	3	#FB61D7
#FB61D7	53.7135365853659	5.933	Sub-Saharan Africa	3	#FB61D7
#FB61D7	45.6518536585366	6.393	Sub-Saharan Africa	3	#FB61D7
#FB61D7	48.2426097560976	5.897	Sub-Saharan Africa	3	#FB61D7
#C49A00	77.5853658536585	1.32	Europe & Central Asia	3	#C49A00
#53B400	64.9863902439024	5.237	Latin America & Caribbean	3	#53B400
#F8766D	73.1750731707317	3.067	East Asia & Pacific	3	#F8766D
#FB61D7	43.6752926829268	6.312	Sub-Saharan Africa	3	#FB61D7
#53B400	62.2924878048781	2.518	Latin America & Caribbean	3	#53B400
#F8766D	78.6829268292683	1.295	East Asia & Pacific	3	#F8766D
#53B400	68.607	4.617	Latin America & Caribbean	3	#53B400
#C49A00	72.0843902439024	1.58	Europe & Central Asia	3	#C49A00
#53B400	57.1460731707317	4.889	Latin America & Caribbean	3	#53B400
#C49A00	69.7917073170732	1.57	Europe & Central Asia	3	#C49A00
#F8766D	63.9777073170732	2.699	East Asia & Pacific	3	#F8766D
