colour	x	y	showSelectedlegendcolour	PANEL	fill
#FB61D7	50.9770731707317	6.817	Sub-Saharan Africa	1	#FB61D7
#FB61D7	45.678756097561	6.683	Sub-Saharan Africa	1	#FB61D7
#FB61D7	47.7214146341463	7.276	Sub-Saharan Africa	1	#FB61D7
#F8766D	62.1719756097561	4.488	East Asia & Pacific	1	#F8766D
#C49A00	61.2963170731707	6.402	Europe & Central Asia	1	#C49A00
#F8766D	35.1138536585366	4.794	East Asia & Pacific	1	#F8766D
#C49A00	59.5508048780488	5.783	Europe & Central Asia	1	#C49A00
#00C094	57.6712195121951	5.958	Middle East & North Africa	1	#00C094
#F8766D	66.3233902439025	5.426	East Asia & Pacific	1	#F8766D
#C49A00	52.9227073170732	5.021	Europe & Central Asia	1	#C49A00
#53B400	66.1781951219512	3.411	Latin America & Caribbean	1	#53B400
#FB61D7	48.835243902439	6.751	Sub-Saharan Africa	1	#FB61D7
#C49A00	69.082756097561	2.02	Europe & Central Asia	1	#C49A00
#FB61D7	50.9377804878049	7.099	Sub-Saharan Africa	1	#FB61D7
#00B6EB	72.6048780487805	1.774	North America	1	#00B6EB
#53B400	69.0725609756098	2.981	Latin America & Caribbean	1	#53B400
#C49A00	63.9844390243903	5.983	Europe & Central Asia	1	#C49A00
#53B400	62.975243902439	4.973	Latin America & Caribbean	1	#53B400
#53B400	66.2543170731707	4.67	Latin America & Caribbean	1	#53B400
#53B400	69.7781707317073	4.677	Latin America & Caribbean	1	#53B400
#F8766D	49.5998048780488	6.574	East Asia & Pacific	1	#F8766D
#F8766D	55.4799756097561	5.929	East Asia & Pacific	1	#F8766D
#F8766D	57.469512195122	5.237	East Asia & Pacific	1	#F8766D
#00C094	43.4045853658537	8.089	Middle East & North Africa	1	#00C094
#FB61D7	54.5791951219512	5.251	Sub-Saharan Africa	1	#FB61D7
#FB61D7	51.0413658536585	7.435	Sub-Saharan Africa	1	#FB61D7
#FB61D7	56.7170243902439	7.395	Sub-Saharan Africa	1	#FB61D7
#00C094	70.5941707317073	5.065	Middle East & North Africa	2	#00C094
#A58AFF	40.7705853658537	7.85	South Asia	2	#A58AFF
#C49A00	71.3975853658537	3.816	Europe & Central Asia	2	#C49A00
#C49A00	69.5044146341464	2.481	Europe & Central Asia	2	#C49A00
#FB61D7	40.7803414634146	7.208	Sub-Saharan Africa	2	#FB61D7
#53B400	70.586512195122	3.093	Latin America & Caribbean	2	#53B400
#C49A00	73.7451219512195	1.46	Europe & Central Asia	2	#C49A00
#F8766D	75.6292682926829	1.923	East Asia & Pacific	2	#F8766D
#53B400	73.0979756097561	2.332	Latin America & Caribbean	2	#53B400
#C49A00	65.4277804878049	2.91	Europe & Central Asia	2	#C49A00
#C49A00	71.7950731707317	1.953	Europe & Central Asia	2	#C49A00
#53B400	73.3470975609756	1.83	Latin America & Caribbean	2	#53B400
#A58AFF	56.9524146341463	5.527	South Asia	2	#A58AFF
#C49A00	74.520243902439	1.49	Europe & Central Asia	2	#C49A00
#FB61D7	47.9815853658537	7.022	Sub-Saharan Africa	2	#FB61D7
#C49A00	71.2280487804878	1.95	Europe & Central Asia	2	#C49A00
#00C094	71.501756097561	4.365	Middle East & North Africa	2	#00C094
#FB61D7	48.1605609756098	6.483	Sub-Saharan Africa	2	#FB61D7
#FB61D7	46.7579756097561	6.972	Sub-Saharan Africa	2	#FB61D7
#F8766D	72.2489024390244	3.794	East Asia & Pacific	2	#F8766D
#53B400	55.6896829268293	5.127	Latin America & Caribbean	2	#53B400
#53B400	64.4393414634146	3.449	Latin America & Caribbean	2	#53B400
#53B400	69.0233658536585	2.857	Latin America & Caribbean	2	#53B400
#A58AFF	49.3393658536585	6.292	South Asia	2	#A58AFF
#FB61D7	62.9001463414634	5.567	Sub-Saharan Africa	2	#FB61D7
#C49A00	70.9926829268293	2.09	Europe & Central Asia	2	#C49A00
#53B400	71.5438048780488	5.019	Latin America & Caribbean	2	#53B400
#00B6EB	76.3034146341464	1.67	North America	2	#00B6EB
#FB61D7	46.3786585365854	6.856	Sub-Saharan Africa	2	#FB61D7
#FB61D7	49.7922926829268	5.944	Sub-Saharan Africa	2	#FB61D7
#FB61D7	57.0941219512195	5.774	Sub-Saharan Africa	2	#FB61D7
#C49A00	76.7336585365854	1.51	Europe & Central Asia	2	#C49A00
#FB61D7	53.0898536585366	6.977	Sub-Saharan Africa	2	#FB61D7
#53B400	71.905	2.657	Latin America & Caribbean	2	#53B400
#FB61D7	52.8563902439024	6.282	Sub-Saharan Africa	2	#FB61D7
#F8766D	68.3131463414634	2.639	East Asia & Pacific	2	#F8766D
#53B400	67.5755853658537	3.43	Latin America & Caribbean	2	#53B400
#53B400	74.624	3.463	Latin America & Caribbean	2	#53B400
#53B400	74.2882195121951	1.837	Latin America & Caribbean	2	#53B400
#FB61D7	62.6583170731707	5.883	Sub-Saharan Africa	2	#FB61D7
#C49A00	75.6729512195122	2.458	Europe & Central Asia	2	#C49A00
#C49A00	71.0463414634146	1.95	Europe & Central Asia	2	#C49A00
#C49A00	74.1917317073171	1.37	Europe & Central Asia	2	#C49A00
#00C094	50.0376097560976	6.527	Middle East & North Africa	2	#00C094
#C49A00	74.4275609756098	1.447	Europe & Central Asia	2	#C49A00
#53B400	65.1303170731707	3.878	Latin America & Caribbean	2	#53B400
#00C094	63.736	5.928	Middle East & North Africa	2	#00C094
#53B400	66.0708292682927	4.342	Latin America & Caribbean	2	#53B400
#C49A00	69.3804878048781	2.12	Europe & Central Asia	2	#C49A00
#00C094	59.0012195121951	5.045	Middle East & North Africa	2	#00C094
#FB61D7	44.9069756097561	6.423	Sub-Saharan Africa	2	#FB61D7
#C49A00	76.259512195122	1.63	Europe & Central Asia	2	#C49A00
#FB61D7	44.4752195121951	7.014	Sub-Saharan Africa	2	#FB61D7
#C49A00	74.2229268292683	1.64	Europe & Central Asia	2	#C49A00
#F8766D	64.3790975609756	3.629	East Asia & Pacific	2	#F8766D
#F8766D	65.6365853658537	5.6	East Asia & Pacific	2	#F8766D
#C49A00	75.3	1.86	Europe & Central Asia	2	#C49A00
#FB61D7	58.9950975609756	5.189	Sub-Saharan Africa	2	#FB61D7
#C49A00	74.6292682926829	1.8	Europe & Central Asia	2	#C49A00
#53B400	66.0871707317073	4.231	Latin America & Caribbean	2	#53B400
#C49A00	69.7340731707317	2.273	Europe & Central Asia	2	#C49A00
#FB61D7	54.5554146341463	6.131	Sub-Saharan Africa	2	#FB61D7
#FB61D7	51.4521219512195	6.223	Sub-Saharan Africa	2	#FB61D7
#FB61D7	41.2764878048781	6.929	Sub-Saharan Africa	2	#FB61D7
#FB61D7	44.6929268292683	5.848	Sub-Saharan Africa	2	#FB61D7
#C49A00	75.7699756097561	1.677	Europe & Central Asia	2	#C49A00
#53B400	59.6447804878049	5.913	Latin America & Caribbean	2	#53B400
#F8766D	70.8075365853659	3.079	East Asia & Pacific	2	#F8766D
#FB61D7	41.840756097561	6.743	Sub-Saharan Africa	2	#FB61D7
#53B400	60.4773414634146	2.938	Latin America & Caribbean	2	#53B400
#F8766D	76.4341463414634	1.491	East Asia & Pacific	2	#F8766D
#53B400	63.3675365853659	5.675	Latin America & Caribbean	2	#53B400
#C49A00	70.8860975609756	1.82	Europe & Central Asia	2	#C49A00
#53B400	52.9377073170732	6.028	Latin America & Caribbean	2	#53B400
#C49A00	68.9721951219512	1.83	Europe & Central Asia	2	#C49A00
#F8766D	59.9866585365854	3.745	East Asia & Pacific	2	#F8766D
#C49A00	73.6409024390244	2.5	Europe & Central Asia	2	#C49A00
#00C094	75.2073170731707	3.058	Middle East & North Africa	2	#00C094
#A58AFF	57.0319268292683	4.289	South Asia	2	#A58AFF
#00C094	58.1053170731707	6.243	Middle East & North Africa	2	#00C094
#00C094	51.6350975609756	6.226	Middle East & North Africa	2	#00C094
#C49A00	77.6024390243903	1.93	Europe & Central Asia	2	#C49A00
#C49A00	75.4953658536585	1.39	Europe & Central Asia	2	#C49A00
#C49A00	74.3981219512195	1.437	Europe & Central Asia	2	#C49A00
#53B400	71.0593658536585	3.308	Latin America & Caribbean	2	#53B400
#00C094	68.997756097561	6.819	Middle East & North Africa	2	#00C094
#F8766D	77.650487804878	1.76	East Asia & Pacific	2	#F8766D
#FB61D7	59.5099268292683	6.918	Sub-Saharan Africa	2	#FB61D7
#C49A00	64.8821219512195	4.093	Europe & Central Asia	2	#C49A00
#F8766D	52.4350243902439	6.711	East Asia & Pacific	2	#F8766D
#FB61D7	54.0149024390244	6.576	Sub-Saharan Africa	2	#FB61D7
#F8766D	69.4930731707317	2.716	East Asia & Pacific	2	#F8766D
#F8766D	68.5329268292683	1.67	East Asia & Pacific	2	#F8766D
#C49A00	66.8129268292683	4.5635	Europe & Central Asia	2	#C49A00
#00C094	71.7718780487805	4.239	Middle East & North Africa	2	#00C094
#C49A00	68.5365853658537	3.08	Europe & Central Asia	2	#C49A00
#F8766D	50.9574146341463	6.361	East Asia & Pacific	2	#F8766D
#00C094	67.4817073170732	3.596	Middle East & North Africa	2	#00C094
#53B400	70.4397317073171	3.888	Latin America & Caribbean	2	#53B400
#A58AFF	69.3727317073171	2.902	South Asia	2	#A58AFF
#FB61D7	43.253512195122	6.873	Sub-Saharan Africa	2	#FB61D7
#FB61D7	56.2383414634146	5.313	Sub-Saharan Africa	2	#FB61D7
#C49A00	70.5012195121951	2.1	Europe & Central Asia	2	#C49A00
#C49A00	73.4333170731707	1.38	Europe & Central Asia	2	#C49A00
#C49A00	69.2914634146342	2.08	Europe & Central Asia	2	#C49A00
#00C094	64.6663170731707	6.513	Middle East & North Africa	2	#00C094
#00C094	61.2901219512195	4.944	Middle East & North Africa	2	#00C094
#C49A00	66.1324390243903	2.643	Europe & Central Asia	2	#C49A00
#C49A00	74.3909756097561	2.064	Europe & Central Asia	2	#C49A00
#FB61D7	49.2735365853659	6.146	Sub-Saharan Africa	2	#FB61D7
#C49A00	70.134243902439	2.246	Europe & Central Asia	2	#C49A00
#FB61D7	42.1429268292683	7.093	Sub-Saharan Africa	2	#FB61D7
#F8766D	55.5146585365854	4.056	East Asia & Pacific	2	#F8766D
#F8766D	58.826	5.376	East Asia & Pacific	2	#F8766D
#F8766D	74.7650243902439	2.04	East Asia & Pacific	2	#F8766D
#FB61D7	54.8636097560976	6.17	Sub-Saharan Africa	2	#FB61D7
#00C094	74.0805609756098	1.99	Middle East & North Africa	2	#00C094
#FB61D7	68.3667317073171	2.02	Sub-Saharan Africa	2	#FB61D7
#A58AFF	57.3080731707317	7.184	South Asia	2	#A58AFF
#FB61D7	46.0411951219512	7.173	Sub-Saharan Africa	2	#FB61D7
#53B400	68.7789024390244	3.896	Latin America & Caribbean	2	#53B400
#F8766D	68.8198536585366	3.656	East Asia & Pacific	2	#F8766D
#FB61D7	42.6627317073171	6.398	Sub-Saharan Africa	2	#FB61D7
