colour	x	y	label	showSelectedlegendcolour	group
#FB61D7	44.8971951219512	8.234	Rwanda	Sub-Saharan Africa	7
#00C094	57.4718292682927	7.313	Saudi Arabia	Middle East & North Africa	4
#F8766D	57.0305365853659	7.236	Solomon Islands	East Asia & Pacific	1
#FB61D7	47.2092682926829	6.573	Sudan	Sub-Saharan Africa	7
#C49A00	74.9846341463415	1.779	Sweden	Europe & Central Asia	2
#F8766D	70.2714146341463	2.079	Singapore	East Asia & Pacific	1
#C49A00	70.3585365853659	2.21	Slovenia	Europe & Central Asia	2
#C49A00	70.2462926829269	2.55	Slovak Republic	Europe & Central Asia	2
#FB61D7	38.6890487804878	5.683	Sierra Leone	Sub-Saharan Africa	7
#FB61D7	43.4430731707317	7.507	Senegal	Sub-Saharan Africa	7
#FB61D7	41.4879512195122	7.061	Somalia	Sub-Saharan Africa	7
#53B400	64.5963414634146	4.735	Suriname	Latin America & Caribbean	3
#FB61D7	57.8001219512195	6.535	Sao Tome and Principe	Sub-Saharan Africa	7
#53B400	57.2617317073171	5.718	El Salvador	Latin America & Caribbean	3
#00C094	63.396487804878	7.472	Syrian Arab Republic	Middle East & North Africa	4
#FB61D7	50.9770731707317	6.817	Swaziland	Sub-Saharan Africa	7
#FB61D7	45.678756097561	6.683	Chad	Sub-Saharan Africa	7
#FB61D7	47.7214146341463	7.276	Togo	Sub-Saharan Africa	7
#F8766D	62.1719756097561	4.488	Thailand	East Asia & Pacific	1
#C49A00	61.2963170731707	6.402	Tajikistan	Europe & Central Asia	2
#F8766D	35.1138536585366	4.794	Timor-Leste	East Asia & Pacific	1
#C49A00	59.5508048780488	5.783	Turkmenistan	Europe & Central Asia	2
#00C094	57.6712195121951	5.958	Tunisia	Middle East & North Africa	4
#F8766D	66.3233902439025	5.426	Tonga	East Asia & Pacific	1
#C49A00	52.9227073170732	5.021	Turkey	Europe & Central Asia	2
#53B400	66.1781951219512	3.411	Trinidad and Tobago	Latin America & Caribbean	3
#FB61D7	48.835243902439	6.751	Tanzania	Sub-Saharan Africa	7
#C49A00	69.082756097561	2.02	Ukraine	Europe & Central Asia	2
#FB61D7	50.9377804878049	7.099	Uganda	Sub-Saharan Africa	7
#00B6EB	72.6048780487805	1.774	United States	North America	5
#53B400	69.0725609756098	2.981	Uruguay	Latin America & Caribbean	3
#C49A00	63.9844390243903	5.983	Uzbekistan	Europe & Central Asia	2
#53B400	62.975243902439	4.973	St. Vincent and the Grenadines	Latin America & Caribbean	3
#53B400	66.2543170731707	4.67	Venezuela, RB	Latin America & Caribbean	3
#53B400	69.7781707317073	4.677	Virgin Islands (U.S.)	Latin America & Caribbean	3
#F8766D	49.5998048780488	6.574	Vietnam	East Asia & Pacific	1
#F8766D	55.4799756097561	5.929	Vanuatu	East Asia & Pacific	1
#F8766D	57.469512195122	5.237	Samoa	East Asia & Pacific	1
#00C094	43.4045853658537	8.089	Yemen, Rep.	Middle East & North Africa	4
#FB61D7	54.5791951219512	5.251	South Africa	Sub-Saharan Africa	7
#FB61D7	51.0413658536585	7.435	Zambia	Sub-Saharan Africa	7
#FB61D7	56.7170243902439	7.395	Zimbabwe	Sub-Saharan Africa	7
